pn,alias,direction,industry,rel_day,pub_date,provider,title,content,news_id,category,consensus_relevance,consensus_stance,consensus_status,rel_1,rel_2,rel_3,stance_1,stance_2,stance_3,conf_1,conf_2,conf_3,reason_1,reason_2,reason_3
21,주택활성화,+,부동산/건설,26,1998-06-17,국민일보,주택경기 부양 한계 일관성 있는 정책을(집 이야기),올라도 걱정이고 내려도 걱정이다.지난 30여년간 떨어질 줄 몰라서 걱정이던 집값이 IMF이후 급격히 하락하고 있어 걱정이다.미분양 주택이 증가하면 건설업계에서는 생산기반의 와해를 걱정하는 소리가 나오고 금융권과 기업에서는 담보부동산의 가격하락으로 인한 부실채권의 증가와 불황의 장기화에 대한 우려의 소리가 커진다.집은 소시민의 재산목록 1호이자 거시경제적으로,01100201.19980617000000901,"경제>부동산, 경제>금융_재테크, 경제>유통",2,neutral,needs_review_low,2,2,2,neutral,neutral,contradict,medium,medium,low,주택경기 부양 한계 일관성 정책 촉구,"주택활성화 양면 분석 칼럼, 균형 시각","주택경기 부양 한계 비판, 활성화 정책 효과 의구"
11,5개 은행 퇴출,-,금융/증권,19,1998-07-18,국민일보,안전한 금융기관 ‘속’ 살피면 보인다,"금융기관을 이용하는 고객들은 불안하다.5개은행 퇴출에서 경험했듯 자칫 부실금융기관과 거래했다가 한동안 돈이 묶이는 낭패를 볼 수 있고 특히 신탁상품의 경우는 실제로 손실을 볼 가능성이 커졌기 때문이다.그렇다고 금융기관을 이용하지 않을 수도 없는 노릇이니 답답하다.각 금융기관은 자칫 자금이 빠져나갈 것을 우려,자신들이 우량하다고 앞다투어 홍보전을 펼치지만 고",01100201.19980718000000801,"경제>금융_재테크, 경제>국제경제, 경제>산업_기업",2,support,unanimous,2,2,2,support,support,support,high,high,high,5개은행 퇴출 후 안전 금융기관 안내,"5개은행 퇴출 직접 언급, 부실 우려 악재 톤","5개은행 퇴출 경험 부실금융 우려, 악재 명확"
31,의약분업,-,바이오/제약,4,2000-07-05,국민일보,복지委 6人소위 약사법개정안 절충 안팎,"국회 보건복지위 산하 의약분업 대책소위는 4일 의료계와 약계,시민단체 대표를 각각 국회로 불러 약사법 개정안 절충점을 찾으려 했지만 핵심쟁점인 임의조제와 대체조제에 대한 이견으로 실패했다.따라서 수렴 직후 5일 전체 회의를 열어 약사법 개정 잠정안을 만들려던 당초 계획도 미뤄졌다.오전 의료계와의 조율은 팽팽한 긴장감속에 시작됐다.약품 최소 포장단위를 30정",01100201.20000705000000401,"정치>국회_정당, 정치>선거",2,support,majority_auto,2,2,2,support,neutral,support,medium,medium,medium,약사법 임의·대체조제 절충 실패,의약분업 약사법 절충 실패 사실보도,"의약분업 약사법 핵심쟁점 절충 실패, 갈등 본격화"
23,8·31 대책,-,부동산/건설,-16,2005-08-15,국민일보,윤곽 드러나는 부동산대책 / “1가구2주택 양도세 중과”,"1가구 2주택에 대해 양도소득세를 중과하는 방안이 검토되고 있다.
또 나대지(놀리고 있는 빈 땅)에 대한 종합부동산세 부과 기준을 기준시가 6억원에서 4억원으로 낮추는 방안이 거론되고 있다. 토지에 대한 양도세를 강화하고 토지보상비를 현금이 아닌 채권으로 제공하는 대책도 검토 중이다.
15일 열린우리당·재정경제부·건설교통부 등에 따르면 정부와 여당은 오는 ",01100201.20050815100000565,"경제>부동산, 정치>행정_자치",2,support,unanimous,2,2,2,support,support,support,high,high,high,8·31 대책 윤곽 양도세·종부세 강화 보도,8·31 부동산대책 양도세 중과 등 규제 강화,"8·31 대책 규제 강화 윤곽, 부동산 악재 명확"
12,리먼 파산,-,금융/증권,-12,2008-09-03,국민일보,고삐풀린 환율 / 실기하고 손발 안맞고… 정책실패가 禍 불렀다,"원·달러 환율 상승은 글로벌 달러화 강세에 따라 일정 부분 받아들일 수밖에 없는 추세라는 측면이 있다. 하지만 하루 환율상승률이 2.43%(2일)에 이르는 패닉(심리적 공황) 장세가 연일 벌어지고 금융위기설이 수그러들지 않는 데는 냉·온탕식 정책에 따른 시장 신뢰 상실과 정부의 위기 대처능력 부족이 큰 몫을 하고 있다.
◇냉·온탕식 환율정책=최근 외환시장 ",01100201.20080903100000021,"경제>외환, 경제>증권_증시",0,neutral,needs_review_low,0,0,1,neutral,neutral,support,medium,medium,low,환율정책 비판 보도로 리먼 파산 직접 언급 없음,환율 정책 실패 비판으로 리먼 파산 무관,환율 패닉 금융위기설 맥락 리먼 시기 일부 관련
35,쌍벌제,-,바이오/제약,15,2010-12-13,국민일보,"제약산업, 신약개발 좌초·약가정책 변화로 흔들","글로벌신약 파이프라인 잇달아 중단, 해외진출에 먹구름 
 
[쿠키 건강] 올한해 국내 기업은 글로벌 신약 개발의 높은 장벽을 재확인한 해로 기억된다. 
 
최근 2~3년 동안 글로벌 제약 및 바이오기업에 라이센싱 계약을 한 주요 신약 후보들의 개발이 중단됐기 때문이다. 
 
대우증권 리서치센터 자료에 따르면, 2008년 일라프라졸(위궤양)의 미국 시장 개발",01100201.20101213083600001,"IT_과학>과학, 경제>산업_기업, 경제>국제경제",2,support,unanimous,2,2,2,support,support,support,medium,high,high,신약 개발 좌초 약가 정책 변화 흔들 보도,쌍벌제 시기 제약산업 신약개발 좌초 약가정책 변화 악재,쌍벌제 시기 제약산업 흔들 신약 좌초 악재 명확
36,약가인하,-,바이오/제약,-26,2012-03-06,국민일보,쌍벌제도 무색…제약사 리베이트 여전,"[쿠키 건강] 공정거래위원회는 이연제약과 진양제약의 리베이트 제공행위에 대해 각각 시정명령 및 1억2000만원, 1억4600만원의 과징금을 부과하기로 결정했다. 
 
이들 업체는 2008년부터 2011년까지 병․의원에 현금 및 상품권 지급, 골프접대, 회식 및 물품지원 등을 통해 경제적 이익을 제공해 왔다. 
 
이연제약은 2008년 1월부터 2010년 6",01100201.20120306134801001,사회>사회일반,1,neutral,needs_review_low,1,1,1,neutral,neutral,support,low,low,low,"쌍벌제 후 리베이트 여전, 약가인하 약함","리베이트 단속 사례, 약가인하와 직접 연결 약함",약가인하 관련 리베이트 단속 강화 분위기
42,전기차 보조금,+,2차전지/에너지,3,2014-01-02,국민일보,"제주도, 전국 처음으로 '읍면동 1전기차 1충전기 시대' 연다","[쿠키 사회] 제주도가 전국에서 처음으로 모든 읍·면·동에 ‘1 전기차, 1 충전기 시대’를 연다. 
 
제주도는 올해 상반기 전기차와 충전기 각 18대를 구입, 제주시 18개 동사무소에 배치할 계획이라고 2일 밝혔다. 이에따라 제주시 19개 동, 7개 읍·면, 서귀포시 5개 읍·면, 12개 동사무소 등 도내 43개 읍·면·동사무소에 전기차와 충전기가 갖춰",01100201.20140102153100001,"지역>제주, 경제>자동차, 지역>경기",2,support,needs_review_low,1,2,2,support,support,support,low,medium,high,제주 전기차 충전기 보급 확대,"제주 1전기차 1충전기 시대, 보조금 호재",제주 전기차 충전기 보급 확대로 보조금 호재 방향
43,재생에너지 3020,+,2차전지/에너지,-22,2017-11-28,국민일보,태양광 ESS 출력량 시스템 출시로 스마트 그리드 구축 앞당겨,"최근 4차산업혁명에 따른 영향으로 신재생에너지 산업이 주요 산업으로 부상하고 있는 가운데 빅데이터와 ICT분야가 융합된 형태의 태양광 연계 ESS 출력량 예측프로그램이 출시돼 관련 사업자들의 눈길을 끌고 있다. 
 
㈜솔라라이트가 ㈜솔라팜과 공동 개발한 태양광발전소 연계 ESS(ENERGY STORAGE SYSTEM) 출력량 예측 시스템 ‘Energy sc",01100201.20171128090044001,"경제>경제일반, IT_과학>과학, IT_과학>모바일",2,support,needs_review_low,1,2,2,support,support,support,low,medium,high,"태양광 ESS 시스템 출시, 재생에너지 맥락","재생에너지 산업 부상, 태양광 ESS 호재",재생에너지 3020 맥락 태양광 ESS 시스템 출시 호재
18,거래세 인하,+,금융/증권,9,2019-06-12,국민일보,[사설] 초단타 매매 감시 강화하고 처벌 강도 높여야,"주식시장에서 수작업을 통한 시세 조작이나 시장 교란 등 불공정 거래 행위는 이제 소수에 불과하다. 정말 문제는 ‘기계’를 이용한 주식 불공정 거래 행위다. 기계를 통한 불공정 행위 중 대표적인 게 알고리즘 매매다. 컴퓨터 프로그래밍을 통해 일정한 가격이 되면 자동 매수·매도 주문을 내도록 조건을 설정, 전산을 통해 매매가 이뤄지도록 하는 거래 방식이다. 알",01100201.20190612040438001,"경제>증권_증시, 경제>부동산, 경제>금융_재테크",0,neutral,needs_review_low,0,0,1,neutral,neutral,neutral,medium,medium,low,초단타 매매 감시 사설로 거래세 인하 무관,"알고리즘 매매 사설, 거래세 인하 정책 미언급",주식시장 불공정거래 사설 약한 산업매칭
17,100조 패키지,+,금융/증권,-18,2020-03-06,국민일보,"코로나19로 급격한 경기침체, 총력전 나선 ‘경기신보’… 이민우 이사장 “직원 업무 피로도 높지만…”","경기신용보증재단(이하 경기신보)이 장기화 되고 있는 신종 코로나바이러스감염증(코로나19) 여파로 경기도 경제가 급격히 침체에 빠지자 타개를 위해 총력전을 펼치고 있다. 
 
6일 경기신보에 따르면 신속한 보증지원을 위해 보증심사 및 조사기준을 완화했다. 
 
‘태스크포스(TF)팀’을 통해 도내 코로나19로 인한 도내 중소기업과 소상공인 피해 상황을 실시간으",01100201.20200306185747001,"지역>경기, 경제>금융_재테크, 경제>취업_창업",0,neutral,needs_review_low,0,0,1,neutral,neutral,support,medium,medium,low,경기신보 자체 코로나 지원 기사로 정책 무관,"경기신보 보증지원 기사, 100조 패키지 미언급",코로나 자영업 보증지원 100조 패키지 맥락
15,공매도 금지 3차,+,금융/증권,2,2020-03-18,국민일보,[박정태 칼럼] 뒷북치는 경제수장들,"중앙은행의 뒤늦은 금리인하 금융위의 근시안적 증시 처방 부총리의 마스크 공장 인증샷 
미증유 위기에 선제적 대응은 없고 정부 대책은 매번 늑장 
리더십 발휘해야 할 상황에서 수장들이 눈치만 보고 있어 
 
지구촌이 혼돈스럽다. 코로나19가 유럽과 미국 등지를 본격적으로 휩쓸자 국제사회는 패닉 상태다. 한국과 중국에선 한풀 꺾였지만 코로나19의 지구촌 확산은",01100201.20200318040233001,"경제>국제경제, 경제>외환, 국제>국제일반",2,neutral,needs_review_low,1,2,2,neutral,neutral,contradict,low,low,low,"경제수장 늑장 대응 비판 칼럼, 공매도 금지 일부 언급","금융위 근시안적 증시 처방 비판, 공매도 금지 배경 칼럼","금융위 늑장 대응 비판, 공매도 금지 정책 효과 부정 시각"
38,백신-CMO,+,바이오/제약,-14,2021-03-09,국민일보,균등 방식·중복 청약이 불지른 SK바이오사이언스 청약…첫날 14조 몰려,"올해 상반기 기업공개(IPO) 시장의 대어(大魚)로 꼽히는 SK바이오사이언스의 일반 공모주 첫날 증거금으로 약 14조원이 몰렸다. 올해부터 공모주 균등 배정 방식이 적용되고, 중복 청약을 제한하는 법 개정이 아직 이뤄지지 않은 점이 흥행에 기름을 부었다. 
 
대표 주관사 NH투자증권에 따르면 9일 진행된 SK바이오사이언스 일반 청약의 통합 경쟁률은 75.",01100201.20210309174156001,"경제>부동산, IT_과학>IT_과학일반, 경제>증권_증시",2,support,needs_review_low,1,2,2,support,support,support,low,medium,high,"SK바이오사이언스 청약 흥행, CMO 호재 맥락",백신 CMO 대표주 SK바이오 청약 14조 흥행,"백신 CMO 대표주 SK바이오사이언스 청약 흥행, 호재 분위기"
6,반도체 초강대국,+,반도체,29,2022-08-19,국민일보,이상일 용인특례시장 “실리콘밸리 능가 반도체도시 건설”,"이상일 경기도 용인특례시장이 “‘ㄴ자형’ 반도체 벨트로 실리콘밸리를 능가하는 반도체 도시를 건설하겠다”고 말했다. 
 
이상일 시장은 18일 취임 50일을 맞아 가진 언론브리핑을 통해 반도체 산업 육성을 위한 민선 8기 용인특례시의 전략 등을 발표하며 이 같이 포부를 밝혔다. 
 
ㄴ자형 반도체 벨트는 기흥구에 조성될 용인 플랫폼시티에서 삼성전자 기흥캠퍼스",01100201.20220819021125001,"경제>반도체, 경제>부동산",2,support,unanimous,2,2,2,support,support,support,medium,high,high,용인시장 반도체 도시 건설 포부,반도체 초강대국 맥락 반도체 벨트 도시 건설,"용인 반도체 ㄴ자형 벨트 건설, 초강대국 호재"
7,미국 반도체 수출규제,-,반도체,5,2022-10-12,국민일보,美 반도체 장비업체 “SK하이닉스 中 공장에 납품 중단”,"미국 주요 반도체 장비업체 KLA가 12일(현지시간)부터 SK하이닉스를 포함해 중국에 기반을 둔 고객사에 납품을 중단하겠다고 11일 밝혔다. 미국 상무부가 지난 7일 중국을 겨냥해 발표한 반도체와 반도체 장비 수출 통제 조치를 KLA가 준수하면서 이뤄진 조치다. 
 
로이터통신은 이날 소식통을 인용해 KLA가 중국에 기반을 둔 고객사에게 일부 제품의 공급과",01100201.20221012040553001,"경제>반도체, 경제>무역, 국제>중국",2,support,unanimous,2,2,2,support,support,support,high,high,high,美 KLA SK하이닉스 중국공장 납품 중단,미국 반도체 수출규제로 SK하이닉스 납품 중단 악재,美 수출규제 KLA SK하이닉스 중국공장 납품 중단 직격탄
30,27만호 공급,+,부동산/건설,22,2024-02-01,국민일보,"8개 민군 겸용 공항, 연내 ‘안티드론 시스템’ 구축한다","정부가 국가 중요시설로 분류되는 전국 12개 공항에 ‘안티드론’ 시스템을 구축하기로 했다. 인천과 제주, 김포공항 등을 제외한 주요 공항에 드론을 탐지·식별하고 무력화하는 체계인 안티드론이 구축돼 있지 않아 안보 위협이 커지고 있다는 보도(국민일보 1월 30일자 1·10면 참조)에 따른 조치다. 
 
국토교통부는 안티드론 시스템이 구축되지 않은 12개 국내",01100201.20240201040849001,정치>정치일반,0,neutral,unanimous,0,0,0,neutral,neutral,neutral,high,high,high,공항 안티드론 시스템 구축 기사로 부동산 무관,"공항 보안 안티드론 보도, 27만호 공급 무관","공항 안티드론 시스템 구축, 정책 무관"
48,첨단전략산업법,+,2차전지/에너지,-12,2024-03-28,국민일보,경쟁국은 반도체에 퍼주는데… 우리정부만 세액공제에 급급,"정부가 주요국 간 펼쳐지는 ‘반도체 전쟁’에 대응하기 위해 첨단전략산업 특화단지에 대한 국비 지원 비율을 상향한다. 입주 기업에 제공하는 투자 인센티브를 확충하는 방안도 검토키로 했다. 다만 반도체 업계가 요구해 온 직접보조금에 대해서는 명확한 입장을 내놓지 않았다. 
 
한덕수 국무총리는 27일 정부서울청사에서 ‘제5차 국가첨단산업위원회’ 회의를 주재하고",01100201.20240328041033001,"경제>반도체, 경제>무역, 경제>자동차",2,contradict,unanimous,2,2,2,contradict,contradict,contradict,medium,high,high,"경쟁국 대비 한국 세액공제만 부족, 호재성 약화","첨단전략산업법 세액공제 부족 비판, 호재성 약화","첨단전략산업 직접보조금 부재 비판, 호재성 부정"
31,의약분업,-,바이오/제약,9,2000-07-10,동아일보,비트컴퓨터 ASP 방식으로 대규모 수주,"코스닥등록업체인 비트컴퓨터는 지난 6월 시화병원 등 9개병원과 ASP(Application Service Provider)공급방식으로 85억6천7백만원의 OCS(처방전달시스템), PACS(의료영상기록 및 전송시스템) 수주계약을 체결했다고 10일 밝혔다. 
그동안 의약분업 수혜주로 지목되어 온 비트컴퓨터는 이번 수주계약으로 상반기 매출이 160억원을 기록함으",01100401.20000710021254041,"경제>유통, 경제>반도체",2,contradict,unanimous,2,2,2,contradict,contradict,contradict,medium,medium,high,의약분업 수혜주 비트컴퓨터 대규모 수주 호재,의약분업 수혜주 OCS 수주로 호재성 보도,의약분업 수혜주 비트컴퓨터 수주 호재로 D=- 반대
22,10·29 대책,-,부동산/건설,8,2003-11-06,동아일보,박승 한은총재 ＂강남 집값 20% 떨어져도 괜찮아＂,"박승(朴昇) 한국은행 총재는 6일 “서울 강남의 집값은 현재 수준에서 20%정도 떨어져야 하며 그만큼 떨어져도 경제에 아무런 문제가 되지 않는다”고 말했다. 
 박 총재는 이날 기자들과 만나 “1996년 12월부터 올 9월까지 물가가 27% 오르는 동안 전국 주택가격은 26%, 강북 주택가격은 39%, 강남 아파트 값은 106% 각각 올랐다”면서 “현재의 ",01100401.20031106063056021,경제>부동산,1,support,needs_review_low,1,1,2,support,support,support,low,medium,medium,한은총재 강남 집값 20% 하락 발언,10·29 대책 직후 한은총재 집값 하락 용인 발언,10·29 대책 직후 한은총재 집값 하락 용인 정책 효과
32,줄기세포 육성,+,바이오/제약,-6,2005-05-13,동아일보,"황우석교수, 또 놀랄 성과…난치병 극복 연구결과 곧 발표","황우석(黃禹錫·52·사진) 서울대 석좌교수가 또 한번 세계를 놀라게 할 연구 성과를 조만간 발표할 계획이다. 
 황 교수는 “치료용 줄기세포 연구와 장기이식용 복제돼지 연구를 결합한 새로운 성과를 올해 안에 발표할 계획”이라며 “지금까지와는 전혀 다른 독창적인 관점에서 접근했다”고 12일 밝혔다. 
 그는 또 “세계적인 학술지에 논문을 발표할 예정이지만 논",01100401.20050513063235001,IT_과학>과학,2,support,needs_review_low,1,2,2,support,support,support,low,medium,high,황우석 줄기세포 연구 성과 발표 예고,줄기세포 연구 성과 보도로 산업 호재성,황우석 줄기세포 연구 성과 발표 예고 호재 기사
13,공매도 금지 1차,+,금융/증권,-27,2008-09-04,동아일보,증시 악성루머… 공매도 세력 웃는다,"주식 빌려서 팔고, 주가 떨어지면 다시 사 
‘逆시세차익’ 노리고 악소문 퍼뜨리는 듯 
기업-개인투자자 피해… 금감원 단속 나서 
 
올 6월 12일 1만8400원이던 대우건설의 주가는 7월 17일 1만850원까지 내려갔다. 한 달여 만에 무려 40% 이상이 빠진 것. 물론 모기업인 금호아시아나그룹의 공격적 기업 인수로 그룹의 재무 부담이 커졌다는 악재는 ",01100401.20080904064857023,"경제>증권_증시, 경제>금융_재테크, 경제>부동산",2,support,unanimous,2,2,2,support,support,support,medium,high,high,"공매도 세력 악소문 기사, 금감원 단속 보도","공매도 세력 폐해 비판 기사, 금지 정책 정당화","공매도 악성루머 단속 보도, 금지 정책 호재 톤"
16,공매도 금지 4차,+,금융/증권,-8,2023-10-28,동아일보,이복현 “글로벌 투자은행 불법공매도 전수조사하겠다”,"이복현 금융감독원장이 글로벌 투자은행(IB)의 불법 공매도 행위에 대한 전수조사 방침을 밝혔다. 시세 조종 혐의를 받고 있는 카카오에 대해선 ‘엄벌 의사’를 또다시 내비쳤다. 
 
 이 원장은 27일 국회 정무위원회의 종합 국정감사에서 글로벌 IB의 불법 공매도에 대해 전수조사를 하면 어떻겠느냐는 질의를 받고 “필요하다고 생각한다”며 “그렇게 하겠다”고 답",01100401.20231028014128001,"정치>정치일반, 경제>금융_재테크",2,support,unanimous,2,2,2,support,support,support,high,high,high,글로벌 IB 불법 공매도 전수조사 호재,공매도 금지 직전 불법공매도 전수조사 호재,공매도 금지 4차 직전 글로벌IB 전수조사 호재
